condition,form,n_models,median_reasoning_ratio,min,max,m_DeepSeek-V4-Pro,m_Kimi-K2.6,m_GLM-5.2
multiple_approaches,direct,3,6.439,2.556,8.421,2.56,6.44,8.42
multiple_approaches,polite,3,3.707,2.714,5.995,2.71,3.71,5.99
multiple_approaches,concise,3,3.03,1.831,4.83,1.83,3.03,4.83
multiple_approaches,verbose,3,6.693,3.847,8.756,3.85,8.76,6.69
multiple_approaches,direct_first,3,4.184,2.831,6.643,2.83,4.18,6.64
deep_thinking,direct,3,1.643,1.464,2.433,1.64,1.46,2.43
deep_thinking,polite,3,1.2,1.12,2.501,1.2,1.12,2.5
deep_thinking,concise,3,1.502,1.236,1.663,1.24,1.5,1.66
deep_thinking,verbose,3,2.307,1.514,2.452,1.51,2.31,2.45
deep_thinking,direct_first,3,1.361,1.299,2.159,1.36,1.3,2.16
max_certainty,direct,3,1.545,1.311,1.846,1.31,1.55,1.85
max_certainty,polite,3,1.51,1.295,1.526,1.3,1.51,1.53
max_certainty,concise,3,1.219,1.126,1.245,1.13,1.25,1.22
max_certainty,verbose,3,1.853,1.656,3.641,1.66,1.85,3.64
max_certainty,direct_first,3,1.758,1.351,2.861,1.35,1.76,2.86
bounded_efficiency,direct,3,0.85,0.839,0.99,0.99,0.84,0.85
bounded_efficiency,polite,3,0.932,0.863,1.103,0.93,1.1,0.86
bounded_efficiency,concise,3,0.898,0.852,1.004,1.0,0.85,0.9
bounded_efficiency,verbose,3,0.853,0.793,0.959,0.96,0.79,0.85
bounded_efficiency,direct_first,3,0.874,0.673,1.115,1.11,0.87,0.67
control,short,3,0.956,0.83,1.11,0.83,1.11,0.96
control,long,3,1.051,0.965,1.081,1.08,1.05,0.96
