harness,model,variant,features,n_runs,n_tasks,success_rate,baseline_success_rate,oos_rate,baseline_oos_rate,median_reasoning,median_excess_reasoning,median_reasoning_ratio,ratio_ci_low,ratio_ci_high,n_tasks_direction,median_tool_calls,median_repeated_ops,cost_per_success,nocache_cost_per_success,median_wall_s,classification
pi,moonshotai/Kimi-K2.6,conflicting_constraints,stress;conflict,12,6,1.0,1.0,0.25,0.0,503.0,141.5,1.437,0.905,2.024,5,6.0,0.0,0.01654,0.03554,9.535,harmful_overthinking
pi,moonshotai/Kimi-K2.6,ambiguous_scope,stress;ambiguity,12,6,1.0,1.0,0.0,0.0,385.0,65.5,1.187,0.452,1.43,4,7.5,0.0,0.01003,0.02264,9.32,neutral
pi,nvidia/nemotron-3-ultra-550b-a55b,full_restatement_per_turn,stress;multi_turn;restatement,12,6,1.0,0.917,0.083,0.0,403.0,136.25,1.285,1.208,1.854,6,7.5,1.0,0.01994,0.01994,12.075,inconclusive
pi,deepseek-ai/DeepSeek-V4-Pro,full_restatement_per_turn,stress;multi_turn;restatement,12,6,1.0,0.917,0.25,0.0,391.0,83.75,1.271,0.681,1.557,5,7.0,0.5,0.0184,0.03834,26.535,harmful_overthinking
pi,moonshotai/Kimi-K2.6,split_across_turns,stress;multi_turn,12,6,0.833,1.0,0.0,0.0,534.0,219.5,1.509,0.885,1.605,5,5.0,1.0,0.01623,0.03425,11.995000000000001,harmful_overthinking
pi,nvidia/nemotron-3-ultra-550b-a55b,misleading_architecture,stress;misdirection,12,6,1.0,0.917,0.0,0.0,412.5,76.0,1.229,0.963,1.507,5,7.0,0.0,0.01602,0.01602,9.85,inconclusive
pi,moonshotai/Kimi-K2.6,misleading_architecture,stress;misdirection,12,6,1.0,1.0,0.083,0.0,1016.0,822.0,4.308,1.586,7.953,6,7.5,0.0,0.04861,0.11823,13.875,wasteful
pi,moonshotai/Kimi-K2.6,full_restatement_per_turn,stress;multi_turn;restatement,12,6,0.917,1.0,0.167,0.0,479.0,154.0,1.465,1.151,1.644,6,8.0,1.5,0.01591,0.03113,13.36,harmful_overthinking
pi,deepseek-ai/DeepSeek-V4-Pro,ambiguous_scope,stress;ambiguity,12,6,0.833,0.917,0.167,0.0,464.5,55.0,1.134,0.954,1.49,5,9.0,0.0,0.02624,0.06279,25.965,harmful_overthinking
pi,deepseek-ai/DeepSeek-V4-Pro,irrelevant_context,stress;distractor_context,12,6,0.917,0.917,0.167,0.0,420.5,6.0,1.038,0.415,1.76,4,6.5,0.0,0.02546,0.05785,26.4,neutral
pi,nvidia/nemotron-3-ultra-550b-a55b,conflicting_constraints,stress;conflict,12,6,1.0,0.917,0.083,0.0,328.0,9.75,1.037,0.974,1.08,4,4.5,0.5,0.01486,0.01486,8.385,inconclusive
pi,nvidia/nemotron-3-ultra-550b-a55b,ambiguous_scope,stress;ambiguity,12,6,0.667,0.917,0.0,0.0,365.5,126.25,1.382,0.599,1.951,4,8.0,0.0,0.02629,0.02629,12.254999999999999,harmful_overthinking
pi,moonshotai/Kimi-K2.6,irrelevant_context,stress;distractor_context,12,6,0.833,1.0,0.167,0.0,412.5,5.75,1.014,0.584,1.281,4,6.0,0.0,0.02876,0.08005,8.195,inconclusive
pi,deepseek-ai/DeepSeek-V4-Pro,split_across_turns,stress;multi_turn,12,6,0.917,0.917,0.083,0.0,392.5,20.0,1.072,0.542,1.266,4,5.5,0.5,0.02048,0.04026,30.57,neutral
pi,nvidia/nemotron-3-ultra-550b-a55b,split_across_turns,stress;multi_turn,12,6,1.0,0.917,0.0,0.0,332.5,41.25,1.103,0.738,1.337,4,4.5,0.0,0.01448,0.01448,12.275,inconclusive
pi,moonshotai/Kimi-K2.7-Code,split_across_turns,stress;multi_turn,12,6,0.917,1.0,0.25,0.0,472.5,261.5,2.305,2.059,2.33,6,6.5,0.0,0.01626,0.03525,12.305,harmful_overthinking
pi,moonshotai/Kimi-K2.7-Code,irrelevant_context,stress;distractor_context,12,6,0.917,1.0,0.167,0.0,129.0,-40.25,0.799,0.5,0.891,2,4.5,0.0,0.0057,0.01248,7.295,inconclusive
pi,moonshotai/Kimi-K2.7-Code,ambiguous_scope,stress;ambiguity,12,6,0.833,1.0,0.5,0.0,375.5,153.75,2.12,0.692,2.712,5,8.0,0.0,0.02882,0.07267,14.59,harmful_overthinking
pi,nvidia/nemotron-3-ultra-550b-a55b,irrelevant_context,stress;distractor_context,12,6,0.917,0.917,0.0,0.0,379.0,66.5,1.127,0.801,1.61,4,6.5,0.0,0.01814,0.01814,8.715,neutral
