harness,model_group,variant,n_runs,cat_test_execution,cat_file_read,cat_file_search,cat_navigation,cat_code_edit,cat_git_inspect,cat_env_inspect,cat_build_compile,cat_other_bash,mean_total_calls,cat_test_execution_share,cat_file_read_share,cat_file_search_share,cat_navigation_share,cat_code_edit_share,cat_git_inspect_share,cat_env_inspect_share,cat_build_compile_share,cat_other_bash_share
claude-code,open-6,adjacent_cleanup,15,16.0,5.47,0.27,1.33,1.53,0.4,0.53,0.0,3.6,29.13,0.549,0.188,0.009,0.046,0.053,0.014,0.018,0.0,0.124
claude-code,open-6,baseline,131,7.51,3.02,0.19,0.72,1.44,0.0,0.22,0.07,1.31,14.48,0.519,0.209,0.013,0.05,0.099,0.0,0.015,0.005,0.09
claude-code,open-6,bounded_efficiency,134,11.36,3.19,0.19,0.89,1.45,0.01,0.23,0.05,2.1,19.47,0.583,0.164,0.01,0.046,0.074,0.001,0.012,0.003,0.108
claude-code,open-6,deep_thinking,121,9.72,3.24,0.26,0.87,1.36,0.03,0.33,0.05,1.77,17.63,0.551,0.184,0.015,0.049,0.077,0.002,0.019,0.003,0.1
claude-code,open-6,exhaustive_exploration,109,9.02,4.24,0.35,0.73,1.47,0.03,0.56,0.1,2.87,19.37,0.466,0.219,0.018,0.038,0.076,0.002,0.029,0.005,0.148
claude-code,open-6,goal_only,14,0.57,1.86,0.07,0.07,1.64,0.0,0.0,0.0,0.5,4.71,0.121,0.395,0.015,0.015,0.348,0.0,0.0,0.0,0.106
claude-code,open-6,max_certainty,10,18.0,6.3,0.8,2.0,2.5,0.0,0.6,0.0,5.9,36.1,0.499,0.175,0.022,0.055,0.069,0.0,0.017,0.0,0.163
claude-code,open-6,multiple_approaches,45,15.36,4.16,0.4,0.91,1.58,0.0,0.62,0.2,3.27,26.5,0.58,0.157,0.015,0.034,0.06,0.0,0.023,0.008,0.123
claude-code,open-6,no_questions_autonomy,97,12.49,3.18,0.27,0.95,1.33,0.03,0.35,0.11,2.3,21.01,0.594,0.151,0.013,0.045,0.063,0.001,0.017,0.005,0.109
claude-code,open-6,scoped_authorization,15,7.47,3.13,0.07,1.2,1.13,0.0,0.27,0.0,1.93,15.2,0.491,0.206,0.005,0.079,0.074,0.0,0.018,0.0,0.127
claude-code,claude-sonnet-5,adjacent_cleanup,6,3.83,1.5,0.0,0.67,1.0,0.0,0.0,0.0,0.67,7.67,0.499,0.196,0.0,0.087,0.13,0.0,0.0,0.0,0.087
claude-code,claude-sonnet-5,baseline,6,3.17,1.17,0.0,0.33,1.0,0.0,0.0,0.0,0.0,5.67,0.559,0.206,0.0,0.058,0.176,0.0,0.0,0.0,0.0
claude-code,claude-sonnet-5,bounded_efficiency,6,3.17,1.33,0.0,0.33,1.0,0.0,0.0,0.0,0.0,5.83,0.544,0.228,0.0,0.057,0.172,0.0,0.0,0.0,0.0
claude-code,claude-sonnet-5,deep_thinking,6,5.5,1.5,0.33,0.67,1.0,0.0,0.5,0.0,0.67,10.17,0.541,0.147,0.032,0.066,0.098,0.0,0.049,0.0,0.066
claude-code,claude-sonnet-5,exhaustive_exploration,6,3.5,2.67,0.0,0.0,1.0,0.0,0.0,0.0,1.0,8.17,0.428,0.327,0.0,0.0,0.122,0.0,0.0,0.0,0.122
claude-code,claude-sonnet-5,max_certainty,6,7.17,2.17,0.5,1.67,1.17,0.0,1.0,0.0,2.0,15.68,0.457,0.138,0.032,0.107,0.075,0.0,0.064,0.0,0.128
claude-code,claude-sonnet-5,multiple_approaches,6,3.5,1.33,0.0,0.67,1.0,0.0,0.0,0.0,0.67,7.17,0.488,0.185,0.0,0.093,0.139,0.0,0.0,0.0,0.093
claude-code,claude-sonnet-5,no_questions_autonomy,6,3.33,1.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,5.66,0.588,0.177,0.0,0.058,0.177,0.0,0.0,0.0,0.0
claude-code,claude-sonnet-5,verbose_repetition,6,2.83,1.0,0.0,0.33,1.0,0.0,0.0,0.0,0.0,5.16,0.548,0.194,0.0,0.064,0.194,0.0,0.0,0.0,0.0
pi,open-6,adjacent_cleanup,344,1.76,3.49,0.38,0.88,1.62,0.07,0.01,0.0,0.61,8.82,0.2,0.396,0.043,0.1,0.184,0.008,0.001,0.0,0.069
pi,open-6,ambiguous_scope,72,2.6,3.04,0.29,0.9,1.19,0.25,0.0,0.0,1.11,9.38,0.277,0.324,0.031,0.096,0.127,0.027,0.0,0.0,0.118
pi,open-6,baseline,521,1.41,2.54,0.29,0.59,1.1,0.03,0.0,0.0,0.34,6.3,0.224,0.403,0.046,0.094,0.175,0.005,0.0,0.0,0.054
pi,open-6,bounded_efficiency,522,1.64,2.47,0.25,0.7,1.08,0.03,0.0,0.0,0.23,6.4,0.256,0.386,0.039,0.109,0.169,0.005,0.0,0.0,0.036
pi,open-6,conflicting_constraints,72,1.53,2.35,0.36,0.83,1.22,0.14,0.0,0.0,0.26,6.69,0.229,0.351,0.054,0.124,0.182,0.021,0.0,0.0,0.039
pi,open-6,deep_thinking,482,1.58,3.09,0.4,0.61,1.06,0.05,0.01,0.0,0.56,7.36,0.215,0.42,0.054,0.083,0.144,0.007,0.001,0.0,0.076
pi,open-6,exhaustive_exploration,343,1.54,3.57,0.27,0.22,1.12,0.08,0.01,0.0,1.04,7.85,0.196,0.455,0.034,0.028,0.143,0.01,0.001,0.0,0.132
pi,open-6,full_restatement_per_turn,72,2.28,2.64,0.24,0.68,1.11,0.03,0.01,0.0,0.47,7.46,0.306,0.354,0.032,0.091,0.149,0.004,0.001,0.0,0.063
pi,open-6,irrelevant_context,72,1.57,2.54,0.39,0.85,1.21,0.11,0.01,0.0,0.56,7.24,0.217,0.351,0.054,0.117,0.167,0.015,0.001,0.0,0.077
pi,open-6,max_certainty,272,2.29,3.36,0.35,0.71,1.1,0.04,0.01,0.0,0.8,8.66,0.264,0.388,0.04,0.082,0.127,0.005,0.001,0.0,0.092
pi,open-6,misleading_architecture,72,1.88,3.14,0.74,1.07,1.38,0.56,0.0,0.0,1.31,10.08,0.187,0.312,0.073,0.106,0.137,0.056,0.0,0.0,0.13
pi,open-6,multiple_approaches,450,1.82,3.27,0.48,0.65,1.15,0.09,0.03,0.0,0.6,8.09,0.225,0.404,0.059,0.08,0.142,0.011,0.004,0.0,0.074
pi,open-6,no_questions_autonomy,232,1.26,2.5,0.25,0.66,1.03,0.0,0.0,0.01,0.26,5.97,0.211,0.419,0.042,0.111,0.173,0.0,0.0,0.002,0.044
pi,open-6,split_across_turns,72,1.9,2.75,0.44,0.51,1.12,0.1,0.0,0.0,0.33,7.15,0.266,0.385,0.062,0.071,0.157,0.014,0.0,0.0,0.046
pi,open-6,verbose_repetition,192,1.16,2.42,0.17,0.66,1.07,0.01,0.0,0.0,0.18,5.67,0.205,0.427,0.03,0.116,0.189,0.002,0.0,0.0,0.032
pi,claude-sonnet-5,adjacent_cleanup,12,1.08,1.33,0.0,0.08,1.0,0.0,0.0,0.0,0.0,3.49,0.309,0.381,0.0,0.023,0.287,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,baseline,13,1.31,1.15,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.46,0.379,0.332,0.0,0.0,0.289,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,bounded_efficiency,12,1.17,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.17,0.369,0.315,0.0,0.0,0.315,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,deep_thinking,12,1.33,1.25,0.08,0.08,1.0,0.0,0.0,0.0,0.0,3.74,0.356,0.334,0.021,0.021,0.267,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,exhaustive_exploration,12,1.17,1.08,0.67,0.0,1.0,0.0,0.0,0.0,0.42,4.34,0.27,0.249,0.154,0.0,0.23,0.0,0.0,0.0,0.097
pi,claude-sonnet-5,max_certainty,12,1.5,1.42,0.0,0.17,1.0,0.0,0.0,0.0,0.33,4.42,0.339,0.321,0.0,0.038,0.226,0.0,0.0,0.0,0.075
pi,claude-sonnet-5,multiple_approaches,12,1.25,1.33,0.0,0.17,1.0,0.0,0.0,0.0,0.0,3.75,0.333,0.355,0.0,0.045,0.267,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,no_questions_autonomy,12,1.17,1.08,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.25,0.36,0.332,0.0,0.0,0.308,0.0,0.0,0.0,0.0
pi,claude-sonnet-5,verbose_repetition,12,1.33,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.33,0.399,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0
