harness,model,variant,experiment,n_runs,tool_calls__delta,tool_calls__delta_ci,tool_calls__ratio,tool_calls__n,failed_calls__delta,failed_calls__delta_ci,failed_calls__ratio,failed_calls__n,error_recovery_calls__delta,error_recovery_calls__delta_ci,error_recovery_calls__ratio,error_recovery_calls__n,duplicate_commands__delta,duplicate_commands__delta_ci,duplicate_commands__ratio,duplicate_commands__n,repeated_reads__delta,repeated_reads__delta_ci,repeated_reads__ratio,repeated_reads__n,post_green_repeat_tests__delta,post_green_repeat_tests__delta_ci,post_green_repeat_tests__ratio,post_green_repeat_tests__n,post_success_calls__delta,post_success_calls__delta_ci,post_success_calls__ratio,post_success_calls__n,abandoned_exploration_calls__delta,abandoned_exploration_calls__delta_ci,abandoned_exploration_calls__ratio,abandoned_exploration_calls__n,tool_result_chars__delta,tool_result_chars__delta_ci,tool_result_chars__ratio,tool_result_chars__n,est_tool_result_tokens__delta,est_tool_result_tokens__delta_ci,est_tool_result_tokens__ratio,est_tool_result_tokens__n,induced_cost_lower_usd__delta,induced_cost_lower_usd__delta_ci,induced_cost_lower_usd__ratio,induced_cost_lower_usd__n,induced_cost_upper_usd__delta,induced_cost_upper_usd__delta_ci,induced_cost_upper_usd__ratio,induced_cost_upper_usd__n,context_growth_tokens__delta,context_growth_tokens__delta_ci,context_growth_tokens__ratio,context_growth_tokens__n,tool_wall_s__delta,tool_wall_s__delta_ci,tool_wall_s__ratio,tool_wall_s__n,wall_s__delta,wall_s__delta_ci,wall_s__ratio,wall_s__n,estimated_no_cache_cost_usd__delta,estimated_no_cache_cost_usd__delta_ci,estimated_no_cache_cost_usd__ratio,estimated_no_cache_cost_usd__n,reported_cost_usd__delta,reported_cost_usd__delta_ci,reported_cost_usd__ratio,reported_cost_usd__n,cat_test_execution__delta,cat_test_execution__delta_ci,cat_test_execution__ratio,cat_test_execution__n,cat_file_read__delta,cat_file_read__delta_ci,cat_file_read__ratio,cat_file_read__n,cat_file_search__delta,cat_file_search__delta_ci,cat_file_search__ratio,cat_file_search__n,cat_navigation__delta,cat_navigation__delta_ci,cat_navigation__ratio,cat_navigation__n,cat_code_edit__delta,cat_code_edit__delta_ci,cat_code_edit__ratio,cat_code_edit__n,tool_calls__perm_p,post_green_repeat_tests__perm_p,duplicate_commands__perm_p,abandoned_exploration_calls__perm_p,post_success_calls__perm_p,est_tool_result_tokens__perm_p,estimated_no_cache_cost_usd__perm_p
claude-code,claude-sonnet-5,adjacent_cleanup,anthropic_cc,6,2.5,"[0.500,3.000]",1.455,6,1.0,"[0.500,1.500]",1.371,6,1.0,"[0.500,1.500]",1.6,6,0.5,"[-0.500,1.500]",1.4,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.5,"[-0.500,1.000]",0.0,6,570.0,"[-1.000,789.500]",1.977,6,142.5,"[-0.500,197.500]",1.976,6,0.0005,"[0.000,0.001]",2.282,6,0.0035,"[0.002,0.005]",2.581,6,777.25,"[302.500,1166.000]",1.93,6,0.0775,"[0.010,0.085]",1.739,6,7.75,"[-0.535,9.110]",1.39,6,0.165,"[0.041,0.206]",1.403,6,0.0342,"[0.013,0.045]",1.312,6,0.5,"[-0.500,1.500]",1.229,6,0.5,"[-0.500,1.000]",1.5,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,1.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,0.5016,1.0,0.5031,1.0,1.0,0.5016,0.5016
claude-code,claude-sonnet-5,bounded_efficiency,anthropic_cc,6,0.25,"[-1.000,1.000]",1.056,6,0.0,"[-1.000,0.500]",1.029,6,0.0,"[-1.000,0.500]",1.067,6,-0.5,"[-1.000,0.500]",0.8,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.500]",2.0,6,15.0,"[-30.000,48.000]",1.016,6,4.0,"[-7.500,12.000]",1.016,6,-0.0,"[-0.000,0.000]",0.998,6,-0.0001,"[-0.001,0.001]",0.984,6,42.5,"[-84.500,125.000]",1.022,6,0.0025,"[-0.010,0.015]",1.01,6,-0.72,"[-5.480,2.110]",0.973,6,0.0012,"[-0.063,0.034]",1.01,6,0.0005,"[-0.011,0.007]",1.008,6,0.0,"[-1.000,0.500]",1.029,6,0.0,"[0.000,0.500]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,claude-sonnet-5,deep_thinking,anthropic_cc,6,0.75,"[-0.500,14.000]",1.117,6,1.0,"[-0.500,9.500]",1.286,6,1.0,"[-0.500,9.500]",1.4,6,0.0,"[-1.000,5.500]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[-0.500,1.000]",0.0,6,13.5,"[-18.000,1071.000]",1.018,6,3.25,"[-4.500,268.000]",1.017,6,0.0001,"[-0.000,0.002]",1.119,6,0.0011,"[-0.000,0.020]",1.241,6,256.75,"[48.000,3395.500]",1.21,6,0.0075,"[-0.015,0.245]",1.041,6,-1.5025,"[-5.085,51.600]",0.929,6,0.0501,"[-0.030,0.960]",1.105,6,0.0095,"[-0.004,0.193]",1.082,6,1.0,"[-0.500,7.000]",1.286,6,0.0,"[-0.500,1.500]",1.0,6,0.0,"[0.000,1.000]",,6,0.0,"[0.000,1.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
claude-code,claude-sonnet-5,exhaustive_exploration,anthropic_cc,6,3.5,"[0.500,3.500]",1.636,6,0.0,"[-0.500,1.500]",1.0,6,0.0,"[-0.500,1.500]",1.0,6,0.0,"[-0.500,1.500]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,1.0,"[0.500,2.000]",2.0,6,678.0,"[129.000,864.000]",2.091,6,169.5,"[32.000,216.000]",2.091,6,0.0006,"[0.000,0.001]",2.308,6,0.0035,"[0.002,0.005]",2.601,6,961.5,"[247.000,1059.000]",2.214,6,0.0725,"[0.025,0.095]",1.696,6,0.865,"[-2.260,7.410]",1.043,6,0.0436,"[-0.027,0.171]",1.107,6,0.0148,"[-0.002,0.035]",1.145,6,0.0,"[-0.500,1.500]",1.0,6,1.0,"[0.500,3.000]",2.0,6,0.0,"[0.000,0.000]",,6,0.0,"[-1.000,0.000]",0.0,6,0.0,"[0.000,0.000]",1.0,6,0.5016,1.0,1.0,0.5016,1.0,0.5016,0.5016
claude-code,claude-sonnet-5,max_certainty,anthropic_cc,6,9.5,"[2.000,18.500]",2.919,6,5.5,"[1.000,10.500]",2.886,6,5.5,"[1.000,11.000]",3.933,6,1.0,"[0.500,3.000]",1.4,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.75,"[0.500,1.000]",2.0,6,879.0,"[146.500,1990.500]",2.29,6,219.75,"[36.500,497.500]",2.29,6,0.0018,"[0.000,0.004]",4.661,6,0.0138,"[0.004,0.028]",7.95,6,2295.5,"[569.000,16198.500]",3.806,6,0.2325,"[0.060,17.160]",3.459,6,34.6175,"[6.555,94.175]",3.1,6,0.6465,"[0.139,1.231]",2.717,6,0.1323,"[0.030,0.325]",2.364,6,4.0,"[1.000,6.000]",2.429,6,0.75,"[0.500,2.000]",1.667,6,0.0,"[0.000,1.000]",,6,1.5,"[0.000,2.000]",1.0,6,0.0,"[0.000,0.500]",1.0,6,0.5016,1.0,0.5016,1.0,1.0,0.5016,0.5016
claude-code,claude-sonnet-5,multiple_approaches,anthropic_cc,6,1.5,"[0.500,2.000]",1.303,6,0.5,"[0.000,1.000]",1.171,6,0.5,"[0.000,1.000]",1.267,6,0.5,"[-1.000,1.000]",1.2,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[-0.500,1.000]",0.0,6,588.0,"[-3.000,686.000]",1.866,6,146.5,"[-0.500,171.500]",1.866,6,0.0005,"[0.000,0.001]",2.025,6,0.0024,"[0.001,0.004]",2.172,6,1284.5,"[979.000,1813.000]",2.564,6,0.0775,"[0.005,0.090]",1.783,6,12.725,"[9.765,17.055]",1.608,6,0.113,"[0.053,0.149]",1.301,6,0.0345,"[0.024,0.045]",1.357,6,0.5,"[-1.000,1.000]",1.171,6,0.0,"[-0.500,1.000]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,1.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,0.5016,1.0,1.0,1.0,1.0,0.5016,0.5016
claude-code,claude-sonnet-5,no_questions_autonomy,anthropic_cc,6,0.0,"[-0.500,0.500]",1.01,6,0.0,"[-0.500,0.500]",1.029,6,0.0,"[-0.500,0.500]",1.067,6,-0.5,"[-0.500,0.500]",0.8,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[-0.500,0.000]",0.0,6,0.0,"[-15.000,23.500]",0.995,6,0.25,"[-3.500,6.000]",0.997,6,-0.0,"[-0.000,0.000]",0.976,6,-0.0001,"[-0.000,0.000]",0.963,6,18.25,"[-37.000,91.500]",1.0,6,-0.005,"[-0.015,0.005]",0.969,6,-2.035,"[-5.250,0.815]",0.924,6,0.0004,"[-0.032,0.033]",1.008,6,-0.0001,"[-0.006,0.006]",1.002,6,0.0,"[-0.500,0.500]",1.029,6,0.0,"[-0.500,0.000]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,1.0,1.0,1.0,1.0,1.0,0.5031,1.0
claude-code,claude-sonnet-5,verbose_repetition,anthropic_cc,6,-0.75,"[-1.500,0.500]",0.873,6,-0.5,"[-1.500,0.500]",0.829,6,-0.5,"[-1.500,0.500]",0.733,6,-0.5,"[-1.500,0.500]",0.733,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[-0.500,0.000]",0.0,6,-31.5,"[-45.000,15.000]",0.973,6,-7.75,"[-11.500,3.500]",0.973,6,-0.0001,"[-0.000,0.000]",0.869,6,-0.0007,"[-0.001,0.000]",0.731,6,-77.75,"[-187.500,116.000]",0.922,6,-0.0125,"[-0.020,0.015]",0.906,6,-4.2625,"[-6.620,5.610]",0.811,6,-0.0485,"[-0.094,0.034]",0.892,6,-0.0097,"[-0.016,0.007]",0.917,6,-0.5,"[-1.500,0.500]",0.829,6,0.0,"[-0.500,0.000]",1.0,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,1.0,1.0,1.0,1.0,1.0,0.4985,1.0
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,holdout_cc,6,-1.5,"[-3.000,0.000]",0.921,6,-1.0,"[-2.000,0.000]",0.917,6,-1.0,"[-3.000,1.000]",0.917,6,-1.5,"[-4.000,0.000]",0.2,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",,6,0.0,"[0.000,0.000]",1.0,6,105.0,"[29.000,181.000]",1.043,6,26.5,"[8.000,45.000]",1.044,6,-0.0006,"[-0.002,0.000]",0.876,6,-0.0046,"[-0.016,0.000]",0.832,6,14.5,"[-165.000,194.000]",0.976,6,-0.03,"[-0.040,0.000]",0.927,6,1.735,"[-18.540,2.390]",1.067,6,-0.0685,"[-0.146,-0.000]",0.891,6,-0.0089,"[-0.018,0.000]",0.942,6,0.5,"[0.000,2.000]",1.071,6,-0.5,"[-1.000,0.000]",0.875,6,0.0,"[0.000,0.000]",1.0,6,0.0,"[0.000,0.000]",1.0,6,-0.5,"[-1.000,0.000]",0.875,6,,,,,,,
claude-code,deepseek-ai/DeepSeek-V4-Pro,bounded_efficiency,pilot_b,1,2.0,"[2.000,2.000]",1.25,1,1.0,"[1.000,1.000]",1.2,1,1.0,"[1.000,1.000]",1.25,1,-1.0,"[-1.000,-1.000]",0.0,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,0.0,"[0.000,0.000]",,1,612.0,"[612.000,612.000]",1.807,1,152.0,"[152.000,152.000]",1.8,1,0.0008,"[0.001,0.001]",1.861,1,0.005,"[0.005,0.005]",1.884,1,529.0,"[529.000,529.000]",1.495,1,0.04,"[0.040,0.040]",1.25,1,67.14,"[67.140,67.140]",3.401,1,0.0699,"[0.070,0.070]",1.261,1,-0.0192,"[-0.019,-0.019]",0.797,1,-1.0,"[-1.000,-1.000]",0.667,1,2.0,"[2.000,2.000]",3.0,1,0.0,"[0.000,0.000]",,1,-1.0,"[-1.000,-1.000]",0.0,1,2.0,"[2.000,2.000]",1.667,1,,,,,,,
